Issue Type,Summary,Description,Sprint Period
"Sub-task","Analisar detalhadamente a estrutura e os campos do Segmento J-52 PIX no Manual CNAB SISPAG.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos J e J-52 PIX para pagamentos via PIX QR Code.","Semana 13 e 14"
"Sub-task","Implementar módulo/serviço para mapear dados de entrada (payload do QR Code, identificadores) para os campos do Segmento J-52 PIX.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos J e J-52 PIX para pagamentos via PIX QR Code.","Semana 13 e 14"
"Sub-task","Implementar função para gerar a linha formatada do Segmento J-52 PIX.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos J e J-52 PIX para pagamentos via PIX QR Code.","Semana 13 e 14"
"Sub-task","Escrever testes unitários para Segmentos J e J-52 PIX.","Subtarefa da Story: Como desenvolvedor, quero gerar os Segmentos J e J-52 PIX para pagamentos via PIX QR Code.","Semana 13 e 14"
"Story","Como desenvolvedor, quero integrar a geração dos segmentos PIX no fluxo de criação do arquivo, garantindo que seja um arquivo separado.","","Semana 13 e 14"
"Sub-task","Adaptar o serviço orquestrador para ter uma lógica específica que gere um arquivo contendo *apenas* lotes PIX.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos segmentos PIX no fluxo de criação do arquivo, garantindo que seja um arquivo separado.","Semana 13 e 14"
"Sub-task","Garantir a ordem correta de geração dentro do lote PIX: Header Lote -> [A + B] ou [J + J-52 PIX] -> Trailer Lote.","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos segmentos PIX no fluxo de criação do arquivo, garantindo que seja um arquivo separado.","Semana 13 e 14"
"Sub-task","Escrever testes de integração para gerar arquivos PIX completos (um para transferência, outro para QR Code).","Subtarefa da Story: Como desenvolvedor, quero integrar a geração dos segmentos PIX no fluxo de criação do arquivo, garantindo que seja um arquivo separado.","Semana 13 e 14"
"Story","Como cliente da API, quero endpoints específicos para submeter pagamentos PIX (Transferência e QR Code).","","Semana 13 e 14"
"Sub-task","Definir e implementar as rotas da API (ex: `POST /api/remessa/pix/transferencia`, `POST /api/remessa/pix/qrcode`).","Subtarefa da Story: Como cliente da API, quero endpoints específicos para submeter pagamentos PIX (Transferência e QR Code).","Semana 13 e 14"
"Sub-task","Definir e implementar a validação dos payloads específicos para cada tipo de PIX.","Subtarefa da Story: Como cliente da API, quero endpoints específicos para submeter pagamentos PIX (Transferência e QR Code).","Semana 13 e 14"
"Sub-task","Integrar os controllers com a lógica do serviço orquestrador que gera o arquivo PIX separado.","Subtarefa da Story: Como cliente da API, quero endpoints específicos para submeter pagamentos PIX (Transferência e QR Code).","Semana 13 e 14"
"Sub-task","Escrever testes de API para os endpoints PIX.","Subtarefa da Story: Como cliente da API, quero endpoints específicos para submeter pagamentos PIX (Transferência e QR Code).","Semana 13 e 14"

